ID;Genre;Senior;Enfants;Anciennete;Multi-lignes;Service Internet;Autres Services;Partenaire;Contrat;Facturation electronique;Mode de paiement;charges mensuelles;Charges totales;Desabonnement
1;Femme;0;Non;1;Non;DSL;Non;Oui;Mensuel;Oui;Cheque electronique;29,85;29,85;Non
2;Homme;0;Non;34;Non;DSL;Oui;Non;Annuel;Non;Cheque papier;56,95;1889,5;Non
3;Homme;0;Non;2;Non;DSL;Oui;Non;Mensuel;Oui;Cheque papier;53,85;108,15;Oui
4;Homme;0;Non;45;Non;DSL;Non;Non;Annuel;Non;Virement bancaire;42,3;1840,75;Non
5;Femme;0;Non;2;Non;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;70,7;151,65;Oui
6;Femme;0;Non;8;Oui;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;99,65;820,5;Oui
7;Homme;0;Oui;22;Oui;Fibre optique;Oui;Non;Mensuel;Oui;Carte bancaire;89,1;1949,4;Non
10;Homme;0;Oui;62;Non;DSL;Oui;Non;Annuel;Non;Virement bancaire;56,15;3487,95;Non
11;Homme;0;Oui;13;Non;DSL;Oui;Oui;Mensuel;Oui;Cheque papier;49,95;587,45;Non
12;Homme;0;Non;16;Non;Non;Oui;Non;Bisannuel;Non;Carte bancaire;18,95;326,8;Non
13;Homme;0;Non;58;Oui;Fibre optique;Oui;Oui;Annuel;Non;Carte bancaire;100,35;5681,1;Non
14;Homme;0;Non;49;Oui;Fibre optique;Oui;Non;Mensuel;Oui;Virement bancaire;103,7;5036,3;Oui
15;Homme;0;Non;25;Non;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;105,5;2686,05;Non
16;Femme;0;Oui;69;Oui;Fibre optique;Oui;Oui;Bisannuel;Non;Carte bancaire;113,25;7895,15;Non
17;Femme;0;Non;52;Non;Non;Oui;Non;Annuel;Non;Cheque papier;20,65;1022,95;Non
18;Homme;0;Oui;71;Oui;Fibre optique;Oui;Non;Bisannuel;Non;Virement bancaire;106,7;7382,25;Non
19;Femme;0;Oui;10;Non;DSL;Oui;Oui;Mensuel;Non;Carte bancaire;55,2;528,35;Oui
20;Femme;0;Non;21;Non;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;90,05;1862,9;Non
21;Homme;1;Non;1;Non;DSL;Non;Non;Mensuel;Oui;Cheque electronique;39,65;39,65;Oui
22;Homme;0;Non;12;Non;Non;Oui;Oui;Annuel;Non;Virement bancaire;19,8;202,25;Non
23;Homme;0;Non;1;Non;Non;Oui;Non;Mensuel;Non;Cheque papier;20,15;20,15;Oui
24;Femme;0;Non;58;Oui;DSL;Oui;Oui;Bisannuel;Oui;Carte bancaire;59,9;3505,1;Non
26;Femme;0;Non;30;Non;DSL;Oui;Non;Mensuel;Oui;Virement bancaire;55,3;1530,6;Non
28;Homme;0;Oui;1;Non;DSL;Non;Oui;Mensuel;Non;Cheque electronique;30,2;30,2;Oui
29;Homme;0;Non;72;Oui;DSL;Oui;Oui;Bisannuel;Oui;Carte bancaire;90,25;6369,45;Non
30;Femme;0;Oui;17;Non;DSL;Oui;Non;Mensuel;Oui;Cheque papier;64,7;1093,1;Oui
31;Femme;1;Non;71;Oui;Fibre optique;Oui;Oui;Bisannuel;Oui;Carte bancaire;96,35;6766,95;Non
32;Homme;1;Non;2;Non;Fibre optique;Oui;Oui;Mensuel;Oui;Carte bancaire;;;Non
33;Femme;0;Oui;27;Non;DSL;Oui;Oui;Annuel;Non;Cheque papier;66,15;1874,45;Non
34;Homme;0;Non;1;Non;Non;Oui;Non;Mensuel;Non;Virement bancaire;20,2;20,2;Non
35;Homme;1;Non;1;Non;DSL;Oui;Non;Mensuel;Non;Virement bancaire;45,25;45,25;Non
36;Femme;0;Oui;72;Oui;Fibre optique;Oui;Oui;Bisannuel;Non;Virement bancaire;99,9;7251,7;Non
37;Homme;0;Non;5;Non;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;69,7;316,9;Oui
38;Femme;0;Non;46;Non;Fibre optique;Oui;Non;Mensuel;Oui;Carte bancaire;74,8;3548,3;Non
39;Homme;0;Non;34;Oui;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;106,35;3549,25;Oui
40;Femme;0;Non;11;Oui;Fibre optique;Oui;Non;Mensuel;Oui;Virement bancaire;97,85;1105,4;Oui
41;Homme;0;Oui;10;Non;DSL;Oui;Oui;Annuel;Non;Cheque papier;49,55;475,7;Non
42;Femme;0;Oui;70;Oui;DSL;Oui;Oui;Bisannuel;Oui;Carte bancaire;69,2;4872,35;Non
43;Femme;0;Oui;17;Non;Non;Oui;Oui;Annuel;Non;Cheque papier;20,75;418,25;Non
